group_id	orig.ident	Celltype	days_PP
FC014_Epithelial 0	FC014	Epithelial 0	228
FC014_Epithelial 2	FC014	Epithelial 2	228
FC014_Epithelial 1	FC014	Epithelial 1	228
FC014_Epithelial 4	FC014	Epithelial 4	228
FC014_Epithelial 3	FC014	Epithelial 3	228
FC019_Epithelial 1	FC019	Epithelial 1	135
FC019_Epithelial 4	FC019	Epithelial 4	135
FC019_Epithelial 0	FC019	Epithelial 0	135
FC019_Epithelial 2	FC019	Epithelial 2	135
FC003_Epithelial 1	FC003	Epithelial 1	450
FC003_Epithelial 3	FC003	Epithelial 3	450
FC003_Epithelial 0	FC003	Epithelial 0	450
FC003_Epithelial 2	FC003	Epithelial 2	450
FC003_Epithelial 4	FC003	Epithelial 4	450
FC004_Epithelial 1	FC004	Epithelial 1	151
FC004_Epithelial 0	FC004	Epithelial 0	151
FC004_Epithelial 2	FC004	Epithelial 2	151
FC004_Epithelial 4	FC004	Epithelial 4	151
FC004_Epithelial 3	FC004	Epithelial 3	151
FC006_Epithelial 1	FC006	Epithelial 1	229
FC006_Epithelial 0	FC006	Epithelial 0	229
FC006_Epithelial 3	FC006	Epithelial 3	229
FC006_Epithelial 2	FC006	Epithelial 2	229
FC006_Epithelial 4	FC006	Epithelial 4	229
FC007_Epithelial 0	FC007	Epithelial 0	257
FC007_Epithelial 1	FC007	Epithelial 1	257
FC007_Epithelial 3	FC007	Epithelial 3	257
FC007_Epithelial 2	FC007	Epithelial 2	257
FC007_Epithelial 4	FC007	Epithelial 4	257
FC008_Epithelial 0	FC008	Epithelial 0	218
FC008_Epithelial 1	FC008	Epithelial 1	218
FC008_Epithelial 2	FC008	Epithelial 2	218
FC008_Epithelial 4	FC008	Epithelial 4	218
FC008_Epithelial 3	FC008	Epithelial 3	218
FC009_Epithelial 1	FC009	Epithelial 1	81
FC009_Epithelial 0	FC009	Epithelial 0	81
FC009_Epithelial 3	FC009	Epithelial 3	81
FC009_Epithelial 2	FC009	Epithelial 2	81
FC009_Epithelial 4	FC009	Epithelial 4	81
FC011_Epithelial 1	FC011	Epithelial 1	681
FC011_Epithelial 4	FC011	Epithelial 4	681
FC011_Epithelial 0	FC011	Epithelial 0	681
FC011_Epithelial 2	FC011	Epithelial 2	681
FC011_Epithelial 3	FC011	Epithelial 3	681
FC012_Epithelial 1	FC012	Epithelial 1	265
FC012_Epithelial 0	FC012	Epithelial 0	265
FC012_Epithelial 4	FC012	Epithelial 4	265
FC012_Epithelial 2	FC012	Epithelial 2	265
FC012_Epithelial 3	FC012	Epithelial 3	265
FC013_Epithelial 1	FC013	Epithelial 1	142
FC013_Epithelial 0	FC013	Epithelial 0	142
FC013_Epithelial 2	FC013	Epithelial 2	142
FC013_Epithelial 3	FC013	Epithelial 3	142
FC013_Epithelial 4	FC013	Epithelial 4	142
