	RNA.FC003_Epithelial.0	RNA.FC003_Epithelial.1	RNA.FC003_Epithelial.2	RNA.FC003_Epithelial.4	RNA.FC003_Epithelial.3	RNA.FC004_Epithelial.0	RNA.FC004_Epithelial.1	RNA.FC004_Epithelial.2	RNA.FC004_Epithelial.4	RNA.FC004_Epithelial.3	RNA.FC006_Epithelial.0	RNA.FC006_Epithelial.1	RNA.FC006_Epithelial.2	RNA.FC006_Epithelial.4	RNA.FC006_Epithelial.3	RNA.FC007_Epithelial.0	RNA.FC007_Epithelial.1	RNA.FC007_Epithelial.2	RNA.FC007_Epithelial.4	RNA.FC007_Epithelial.3	RNA.FC008_Epithelial.0	RNA.FC008_Epithelial.1	RNA.FC008_Epithelial.2	RNA.FC008_Epithelial.4	RNA.FC008_Epithelial.3	RNA.FC009_Epithelial.0	RNA.FC009_Epithelial.1	RNA.FC009_Epithelial.2	RNA.FC009_Epithelial.4	RNA.FC009_Epithelial.3	RNA.FC011_Epithelial.0	RNA.FC011_Epithelial.1	RNA.FC011_Epithelial.2	RNA.FC011_Epithelial.4	RNA.FC011_Epithelial.3	RNA.FC012_Epithelial.0	RNA.FC012_Epithelial.1	RNA.FC012_Epithelial.2	RNA.FC012_Epithelial.4	RNA.FC012_Epithelial.3	RNA.FC013_Epithelial.0	RNA.FC013_Epithelial.1	RNA.FC013_Epithelial.2	RNA.FC013_Epithelial.4	RNA.FC013_Epithelial.3	RNA.FC014_Epithelial.0	RNA.FC014_Epithelial.1	RNA.FC014_Epithelial.2	RNA.FC014_Epithelial.4	RNA.FC014_Epithelial.3	RNA.FC018_Epithelial.0	RNA.FC018_Epithelial.1	RNA.FC018_Epithelial.2	RNA.FC018_Epithelial.4
10FTHF5GLUtl_pos	4200.784437	4255.902357	4157.31984	4208.648621	4228.122432	4325.970998	4340.912695	4322.869942	4380.850167	4367.208028	4253.73488	4333.67033	4459.231663	4195.019862	4280.790482	4265.472398	4304.660243	4426.514522	4368.703758	4332.226131	4298.85839	4332.960836	4326.359191	4388.018174	4340.351824	4303.994192	4308.315707	4426.131096	4410.236898	4374.521982	4261.457622	4338.670041	4253.788158	4316.256091	4445.303484	4284.78411	4325.959926	4367.42268	4349.751279	4344.181523	4289.730662	4316.671388	4401.423469	4357.662288	4393.380005	4359.18635	4361.674197	4370.736855	4318.566559	4354.958415	4643.56114	4586.037397	4708.414006	4575.926697
10FTHF5GLUtm_pos	5718.598341	5724.124414	5663.348757	5707.027119	5797.912947	5769.463484	5730.323072	5996.059313	5727.17057	6049.123509	5744.290286	5801.67119	6016.807325	5949.604485	5888.980549	5767.263467	5707.113009	6127.37437	5792.180927	5922.307247	5787.834426	5769.287345	5921.006968	5862.733634	5975.099662	5730.662448	5713.24858	5958.012487	5798.407854	5820.048321	5718.557639	5689.804413	5704.402879	5778.25341	5901.019496	5754.513868	5737.232938	6053.672435	5767.585168	5853.818952	5775.433184	5726.667151	5923.359691	5764.035108	5873.218538	5829.288426	5802.046632	5941.346859	5780.556015	5818.514673	6569.072644	5809.423168	6584.55841	6046.665821
10FTHF6GLUtl_pos	5209.965294	5298.281774	5139.259406	5222.233183	5253.49399	5395.05637	5434.048387	5406.078417	5499.024818	5478.522956	5296.532353	5422.998989	5623.99381	5197.342692	5339.044341	5310.710158	5374.777213	5572.320629	5480.221574	5422.155161	5365.979134	5415.389003	5411.227939	5510.728071	5436.062773	5375.572606	5381.888407	5571.332076	5537.316946	5489.152332	5301.61695	5399.684291	5295.048101	5396.516593	5590.530162	5339.063026	5409.961685	5476.557449	5448.900464	5441.018886	5351.885638	5394.835092	5531.164314	5461.779135	5519.689473	5453.342028	5467.823612	5482.544266	5398.740054	5457.810399	5924.850219	5833.537766	6028.335446	5817.285068
10FTHF6GLUtm_pos	6112.665856	6127.824065	6043.778248	6113.891693	6215.542492	6195.996451	6156.827416	6493.902579	6165.105927	6503.622192	6150.07824	6229.006134	6440.321639	6433.863671	6402.076349	6172.010859	6115.041132	6553.416706	6227.677552	6360.830276	6206.096869	6190.36258	6348.524015	6297.583133	6410.228106	6140.880948	6132.575673	6406.246146	6250.149045	6270.80989	6137.60689	6110.421805	6114.404166	6196.431744	6401.856555	6163.393952	6154.894921	6482.289756	6194.142291	6266.843204	6179.019802	6135.971733	6355.697048	6186.253793	6310.863812	6259.717347	6231.139443	6369.948275	6197.671248	6261.436863	7149.294827	6275.504501	7179.913574	6666.215759
10FTHF7GLUtl_pos	5725.015435	5810.566438	5722.225953	5737.67695	5834.183643	5922.338636	6026.941309	6069.736027	6061.441019	6124.364815	5805.198343	5955.523783	6272.653191	5864.276568	5982.5045	5818.093439	5896.646801	6178.925763	6042.700064	5974.176926	5885.597018	5945.874534	5981.886648	6085.396829	6013.247001	5929.252904	6002.51855	6235.707767	6096.647581	6079.470748	5811.010149	5929.457124	5801.787432	5923.711444	6164.174041	5853.016473	5950.67133	6089.076738	6016.844369	6030.622735	5876.707222	5965.241311	6132.666108	6040.552016	6117.036302	5990.227243	6039.229023	6050.791495	5932.084686	6005.372346	6773.460683	6425.163798	6905.985653	6635.549561
10FTHF7GLUtm_pos	6376.615324	6398.180854	6297.529877	6386.640586	6494.111713	6482.086128	6442.436575	6826.030801	6457.435012	6808.977831	6421.918364	6514.488859	6722.856306	6756.728311	6744.39913	6442.470438	6387.142525	6837.59928	6518.126463	6653.347724	6485.129751	6471.242865	6633.743078	6587.641448	6700.68203	6415.746208	6413.508988	6705.22974	6552.736166	6572.905288	6418.214959	6391.354782	6389.03892	6475.337959	6737.267223	6436.160966	6433.490746	6768.21994	6478.664637	6542.371451	6448.25876	6409.010204	6644.058556	6467.888339	6602.814688	6547.142998	6517.3747	6655.825923	6476.79898	6558.838378	7536.216454	6587.504952	7576.97373	7079.336831
10FTHFtl_neg	4200.784437	4255.902357	4157.31984	4208.648621	4228.122432	4325.970998	4340.912695	4322.869942	4380.850167	4367.208028	4253.73488	4333.67033	4459.231663	4195.019862	4280.790482	4265.472398	4304.660243	4426.514522	4368.703758	4332.226131	4298.85839	4332.960836	4326.359191	4388.018174	4340.351824	4303.994192	4308.315707	4426.131096	4410.236898	4374.521982	4261.457622	4338.670041	4253.788158	4316.256091	4445.303484	4284.78411	4325.959926	4367.42268	4349.751279	4344.181523	4289.730662	4316.671388	4401.423469	4357.662288	4393.380005	4359.18635	4361.674197	4370.736855	4318.566559	4354.958415	4643.56114	4586.037397	4708.414006	4575.926697
10FTHFtl_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10FTHFtm_neg	9450.845693	9286.642499	9363.549447	9088.938978	9465.886109	9694.360368	9219.979977	9646.200438	9281.516897	9557.787002	9284.522968	9191.850832	10106.50987	9734.319081	8984.651529	9578.911082	9472.239163	10060.48488	9423.384053	9812.365745	9716.091731	9528.245289	9713.35228	9634.111304	10373.4069	9174.169386	8944.496564	9060.05209	9038.112416	9378.331705	9060.370077	8855.385873	8980.053624	9039.291893	9680.93547	9689.327943	9522.15809	9918.231466	9766.275894	10134.85781	9742.91294	9646.081999	10044.22351	9540.318475	10165.68902	9673.716899	9552.834085	9737.862786	9974.764816	10499.89478	11400	11399.06836	11400	11399.33966
10FTHFtm_pos	23002.61317	23234.60638	23143.83943	23389.49668	23177.02522	23461.08176	23304.77127	23847.86074	23289.21539	24114.75471	22992.05698	23207.77625	25035.47993	24677.09385	23081.84639	23301.91895	23529.96718	24995.01749	23797.87248	24019.53776	23595.28272	23633.70748	24126.0364	23820.50054	24277.45729	23203.11742	23244.00549	24077.75767	23632.26933	23603.80633	23107.64913	23072.45008	23409.19177	23330.02744	23793.28972	23540.23553	23700.85393	24734.93777	23905.08882	24023.21986	23492.42239	23704.58547	24446.62934	23755.23547	24245.95666	23802.26535	23797.91538	24331.15085	24212.15021	24476.79442	24977.80998	25435.41946	26816.24874	25950.45738
11DOCRTSLtm_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11DOCRTSLtm_pos	75795.36317	76399.05592	76756.44852	75487.55503	76830.08913	77937.76309	77942.51584	78656.60428	77146.44417	79492.03008	76818.17918	76916.68312	81755.30221	76003.54295	76677.84555	76714.14697	76492.96392	80200.19733	77868.99198	78661.90766	77621.05612	77167.50982	78457.63481	77766.04801	78793.43031	77698.00191	77823.70294	79429.1566	77603.7845	78040.51808	76712.91851	76703.48658	76500.22689	76270.51234	78170.82164	76856.27984	77107.07445	78564.86061	77482.54808	78641.99033	77015.6426	77453.93379	79329.12514	77890.17651	79062.30652	78604.30405	78314.42049	78958.47741	78109.84735	79231.00633	87001.31875	84187.71061	88871.96439	82686.25054
11DOCRTSLtr_neg	75795.36317	76399.05592	76756.44852	75487.55503	76830.08913	77937.76309	77942.51584	78656.60428	77146.44417	79492.03008	76818.17918	76916.68312	81755.30221	76003.54295	76677.84555	76714.14697	76492.96392	80200.19733	77868.99198	78661.90766	77621.05612	77167.50982	78457.63481	77766.04801	78793.43031	77698.00191	77823.70294	79429.1566	77603.7845	78040.51808	76712.91851	76703.48658	76500.22689	76270.51234	78170.82164	76856.27984	77107.07445	78564.86061	77482.54808	78641.99033	77015.6426	77453.93379	79329.12514	77890.17651	79062.30652	78604.30405	78314.42049	78958.47741	78109.84735	79231.00633	87001.31875	84187.71061	88871.96439	82686.25054
11DOCRTSLtr_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11DOCRTSTRNtm_neg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11DOCRTSTRNtm_pos	78700.03887	79258.12742	79530.41447	78338.14683	79649.53057	80811.40894	80848.77266	81510.05614	79989.36989	82429.32545	79650.61375	79836.16637	84588.42659	78840.96697	79540.95041	79566.01494	79344.29474	82988.23689	80613.99765	81399.60035	80480.21626	80040.268	81283.21171	80479.93299	81617.17904	80549.48511	80671.57741	82271.20987	80371.071	80842.22602	79634.45234	79624.57635	79373.03006	79073.74736	81026.92106	79726.45643	79969.94728	81374.55957	80288.78269	81454.18615	79821.42989	80249.56414	82076.2914	80607.41549	81793.25999	81458.22419	81176.3346	81793.86625	80885.95029	82036.12452	89882.71095	87189.21734	91434.07905	85616.37477
11DOCRTSTRNtr_neg	78700.03887	79258.12742	79530.41447	78338.14683	79649.53057	80811.40894	80848.77266	81510.05614	79989.36989	82429.32545	79650.61375	79836.16637	84588.42659	78840.96697	79540.95041	79566.01494	79344.29474	82988.23689	80613.99765	81399.60035	80480.21626	80040.268	81283.21171	80479.93299	81617.17904	80549.48511	80671.57741	82271.20987	80371.071	80842.22602	79634.45234	79624.57635	79373.03006	79073.74736	81026.92106	79726.45643	79969.94728	81374.55957	80288.78269	81454.18615	79821.42989	80249.56414	82076.2914	80607.41549	81793.25999	81458.22419	81176.3346	81793.86625	80885.95029	82036.12452	89882.71095	87189.21734	91434.07905	85616.37477
11DOCRTSTRNtr_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13DAMPPOX_pos	50850.23808	51449.89579	50063.62596	50441.73298	50658.91909	51400.29653	51825.04448	51857.2067	51384.80192	52833.46038	50832.38645	51420.07814	53501.50928	50553.85949	50172.40962	50860.29051	50737.29004	53523.17662	51694.74833	51979.00421	51235.9488	51489.38939	51947.85498	51935.25898	51795.18813	51348.12561	51640.38252	51507.93757	51466.63428	51960.4171	50970.19567	50998.02101	50487.76751	50983.42217	52181.8683	50926.13763	51120.21792	52581.03088	51738.8592	51366.13284	50597.63575	50988.8509	52604.09277	51745.46222	52146.70221	52324.33882	52144.76325	52630.40346	52266.42678	52832.86038	57331.2604	55427.27926	59860.63299	56105.35709
1MNCAMti_pos	66.51778703	67.22739719	67.88712251	66.8672135	66.49517692	67.98024506	68.75579827	68.74824105	69.63001502	68.34045103	66.95126172	67.39575776	72.06770829	66.94685495	66.77465081	67.05547667	67.29882892	70.81391788	68.15429852	68.02621806	68.06185389	68.49759993	68.87997889	69.49483717	68.14999968	68.00587219	68.25530984	69.97716173	69.36221304	68.10274115	67.03622465	68.40202828	67.36323251	67.90630976	68.37826299	67.22484817	67.73091514	69.84678812	68.33724942	68.5500989	68.00564258	68.7218301	70.3351793	69.38707156	69.58752378	68.39379495	68.54620841	69.2784387	68.27339629	68.42131535	72.29193932	76.49695372	78.39241093	73.67827708
1PPDCRp_pos	72.66137717	72.59375791	73.02999718	72.55944366	73.6064499	72.28503816	72.05413343	73.06184634	71.69703317	74.77825035	72.35766804	72.67104043	73.96957273	72.19847229	72.44769535	73.20766195	72.37979054	76.19124885	72.73763634	74.31010858	73.18059424	72.74119938	74.34532107	72.88080218	73.69312447	72.04790421	71.58057639	72.99058179	71.5180116	72.63689043	72.5476593	72.05348629	72.49631027	71.95614636	72.82599879	72.89167417	72.46754597	75.67116061	72.37730304	73.49515558	72.8334585	72.61122373	74.92680508	73.0577178	74.28683196	73.80716407	72.98030316	74.80345229	73.24937933	74.68011815	79.12319549	78.31576469	81.4463893	77.29829749
1a25DHVITD3TRn_pos	73225.73953	73886.91163	74229.75371	72807.14163	73912.4542	75139.77782	75351.49857	75729.03824	74293.56404	76895.37924	74151.76481	74686.5904	78954.82429	73130.23889	73887.88804	73996.06828	73826.55686	77110.26355	74789.05394	75734.79847	74722.3701	74486.82373	75540.93578	74860.21034	76222.93497	74953.17649	75112.31394	76826.2411	74563.13897	75265.13423	74070.09162	74277.21587	73649.87494	73403.7367	75447.13041	74146.73761	74338.41294	75467.22449	74512.90457	75682.62514	74190.26874	74473.69875	76229.09031	74804.63735	76047.99322	75754.69709	75614.77976	75965.86169	75222.72058	76373.17007	84876.37138	81741.23436	86022.98212	79288.45518
1a_24_25VITD2Hm_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a_24_25VITD3Hm_pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
